,전용면적(㎡)
0,62.08
1,64.23
2,53.965
3,48.53
4,67.9
5,48.41
6,63.33
7,27.74
8,50.49
9,59.77
10,70.83
11,58.77
12,56.55
13,56.46
14,56.46
15,22.42
16,48.69
17,55.32
18,79.39
19,61.26
20,57.51
21,57.51
22,64.82
23,68.09
24,76.5
25,72.57
26,55.35
27,72.36
28,59.93
29,67.9
30,56.46
31,58.86
32,72.36
33,67.9
34,56.46
35,53.16
36,27.74
37,27.74
38,53.965
39,83.2
40,67.9
41,20.0687
42,20.717
43,15.880999999999998
44,15.880999999999998
45,15.880999999999998
46,15.8259
47,21.2244
48,22.589000000000002
49,19.157
50,22.589000000000002
51,22.0257
52,16.660999999999998
53,16.660999999999998
54,16.660999999999998
55,16.660999999999998
56,15.725
57,16.660999999999998
58,16.660999999999998
59,23.9406
60,20.343
61,16.660999999999998
62,24.2841
63,16.660999999999998
64,22.8217
65,16.660999999999998
66,16.660999999999998
67,20.0687
68,16.660999999999998
69,20.2003
70,15.880999999999998
71,20.717
72,22.589000000000002
73,20.0687
74,20.0687
75,15.880999999999998
76,15.880999999999998
77,15.880999999999998
78,27.2216
79,18.8283
80,21.5014
81,18.8283
82,15.880999999999998
83,22.589000000000002
84,18.8283
85,23.0857
86,22.589000000000002
87,22.8217
88,17.3137
89,30.085
90,22.589000000000002
91,16.85
92,33.9845
93,16.660999999999998
94,20.2003
95,67.9
96,55.35
97,54.09
98,56.46
99,56.46
100,56.46
101,56.46
102,80.685
103,15.008
104,15.368
105,15.368
106,12.828
107,15.008
108,12.828
109,12.828
110,12.828
111,12.828
112,15.008
113,15.008
114,15.368
115,12.828
116,12.828
117,15.368
118,12.828
119,23.85
120,51.21
121,106.03
122,57.51
123,54.09
124,67.9
125,55.29
126,58.2225
127,63.175
128,51.21
129,56.46
130,61.33
131,51.21
132,50.14
133,55.35
134,54.09
135,83.2
136,44.9
137,63.175
138,25.56
139,21.24
140,21.24
141,21.24
142,21.24
143,25.56
144,25.56
145,25.56
146,25.56
147,25.56
148,25.56
149,25.56
150,21.24
151,21.24
152,21.24
153,21.24
154,21.24
155,21.24
156,20.52
157,25.56
158,20.52
159,20.52
160,20.52
161,20.52
162,25.56
163,20.52
164,20.52
165,20.52
166,25.56
167,25.56
168,25.56
169,61.33
170,27.33
171,67.9
172,54.09
173,67.9
174,59.49
175,63.33
176,54.21
177,53.46
178,55.35
179,51.21
180,61.26
181,54.28
182,55.35
183,61.26
184,48.41
185,67.9
186,59.49
187,55.35
188,22.42
189,83.11
190,52.3
